rank,company,gross_mm,net_mm,employees
1,Amazon.com Inc.,,,378000.0
2,C.H. Robinson,14768.0,2564.0,10200.0
3,GXO Logistics,13178.0,,154000.0
4,J.B. Hunt Transport Services,11284.0,,24189.0
5,Expeditors International of Washington,11069.0,,19800.0
6,UPS Supply Chain Solutions,8771.0,,60000.0
7,Kuehne + Nagel (North America),,,15100.0
8,Ryder System,7802.0,5932.0,39500.0
9,Total Quality Logistics,7433.0,1459.0,9000.0
10,DSV A/S (North America),,,25000.0
11,RXO,5742.0,1131.0,9218.0
12,DHL Supply Chain (North America),,,51500.0
13,Lineage,5355.0,5355.0,24000.0
14,WWEX Group,5181.0,925.0,2500.0
15,Beon (Transportation Insight & Nolan Transportation Group),5111.0,,1600.0
16,Uber Freight,5099.0,,5200.0
17,Penske Logistics,4210.0,,20869.0
18,Schneider,,,15000.0
19,Echo Global Logistics,4000.0,,2500.0
20,Hub Group,,,6500.0
21,NFI,3750.0,3200.0,17000.0
22,AIT Worldwide Logistics,3560.0,,4716.0
23,Ceva Logistics (North America),3305.0,,12500.0
24,Geodis (North America),,,19400.0
25,Landstar System,,,900.0
26,Arrive Logistics,2691.0,,1928.0
27,Americold,2602.0,,12690.0
28,Maersk Logistics (North America),,,10000.0
29,Flexport,,,2160.0
30,Werner Enterprises,2149.0,1414.0,6779.0
31,Knight-Swift Transportation,,,8000.0
32,Mode Global,2100.0,,600.0
33,PSA BDP,2000.0,539.0,6900.0
33,Forward Air/Omni Logistics,,,4500.0
35,KLN (Americas),,,
36,Capstone Logistics,1920.0,1430.0,22000.0
37,Scotlynn,1811.0,252.0,716.0
38,TFI International,,,5766.0
39,Kenco,1698.0,1378.0,8100.0
40,FedEx Logistics,,,17000.0
41,Seko Logistics,1458.0,308.0,1900.0
42,Ruan,1450.0,,5000.0
43,ArcBest Corp.,1410.0,206.0,1087.0
43,ITS Logistics,1410.0,208.0,1100.0
45,Universal Logistics Holdings,,,9300.0
46,Armstrong Transport Group,1350.0,200.0,310.0
47,Allen Lund Co.,1348.0,158.0,762.0
48,Priority-1 Inc.,1560.0,324.0,1081.0
49,Redwood Logistics,1282.0,178.0,901.0
50,Ryan Transportation Service,1260.0,,707.0
51,Traffix,1200.0,197.0,834.0
52,Axle Logistics,1195.0,159.0,687.0
53,Trinity Logistics,1100.0,185.0,388.0
54,Ascent Global Logistics,1082.0,175.0,856.0
55,Metro Supply Chain,,,9000.0
56,Canada Cartage/The GTI Group,1054.0,899.0,4705.0
57,CJ Logistics America,1000.0,,4000.0
58,BlueGrace Logistics,985.0,197.0,585.0
59,MegaCorp Logistics,984.0,149.0,746.0
60,Odyssey Logistics,,,1900.0
61,Integrity Express Logistics,,,813.0
61,Spot Inc.,933.0,108.0,663.0
63,Saddle Creek Logistics Services,929.0,782.0,5330.0
64,Nippon Express (North America),922.0,39.0,3407.0
65,Crane Worldwide Logistics,,,2100.0
65,PLS Logistics Services,915.0,148.0,600.0
67,Radiant Logistics,893.0,242.0,1026.0
68,Scan Global Logistics (Americas),850.0,,877.0
69,Hellmann Worldwide Logistics (Americas),,,2143.0
69,ID Logistics (North America),842.0,842.0,9000.0
71,Covenant Logistics,,,3420.0
71,Paxon (North America),790.0,,3000.0
73,OIA Global,779.0,202.0,1200.0
73,Grupo Traxión,779.0,,11000.0
75,Bridgeway Connects,774.0,124.0,270.0
76,Lazer Logistics,742.0,742.0,5946.0
77,RJW Logistics Group,700.0,,2000.0
78,Logistics Plus,695.0,125.0,1400.0
79,Mullen Group,,,3121.0
80,Transervice Logistics/Lily Transportation,651.0,651.0,2976.0
81,ATS Logistics Services,626.0,99.0,414.0
81,De Well Group (North America),626.0,73.0,914.0
83,CRST The Transportation Solution,618.0,,2500.0
84,Matson Logistics,609.0,,515.0
85,Neovia Logistics Services,586.0,586.0,5500.0
86,Kintetsu World Express (North America),,,
87,Steam Logistics,578.0,88.0,479.0
88,Day & Ross,575.0,,1120.0
89,TA Services,,,941.0
90,Watco Logistics,556.0,82.0,580.0
91,Logistic Dynamics,551.0,91.0,59.0
92,Evans Transportation Services,539.0,,162.0
93,Venture Logistics,,,1726.0
94,Circle Logistics,,,750.0
94,RPM Freight Systems,500.0,,405.0
96,KAG Logistics,480.0,,160.0
97,Beemac Logistics,476.0,58.0,312.0
98,FLS Transportation Services,433.0,62.0,335.0
99,Marten Transport,428.0,,1700.0
100,ODW Logistics,416.0,,2222.0
